# docs/tasks/artifacts/engine_universal_services/parse_cost_ratchet/accepted_rises.tsv
#
# ⛔ PARSE-COST-RATCHET's message has always ended "… or record it as irreducible with the
# measurement that proves it (`.20` acceptance)" — and until ENGINE-UNIVERSAL-SERVICES.36 there was
# NOWHERE to record it. A rise always failed, with no typed outcome between "eliminate it" and
# "bypass the gate". That asymmetry pressures a correctness fix into being abandoned or a gate into
# being skipped, which is the same shape as SV-CORPUS-GRAD.13c.2k's missing `accepts_invalid`
# manifest class: the instrument could hold one direction of a claim and not the other.
#
# ⛔⛔ THIS IS NOT A WAIVER FILE. A row does not say "ignore this rise"; it says "this EXACT rise,
# from this EXACT number to this EXACT number, is explained by a NAMED INVARIANT which the gate
# RE-EVALUATES on the fresh measurement". Three properties keep it from becoming a rubber stamp:
#   * from/to are exact integers, so a row cannot cover any rise but the one it was written for;
#   * `invariant` must name one of the predicates coded into scripts/check_parse_cost_ratchet.sh —
#     accepting a rise of a NEW SHAPE therefore takes a code change with its own task leaf, not a
#     new line in a data file;
#   * the invariant is re-checked against the run's own numbers. If it stops holding, the gate
#     fails and says the acceptance's own justification is gone.
#
# ⚠️ A row is LIVE only while the baseline it names is still the baseline. Once the rise has been
# accepted and `sv_parse_cost_rebaseline` promotes the new measurement, the row matches no rise and
# stops being re-derived — it stays as the AUDIT TRAIL for why the baseline moved upward, which is
# the one thing a promoted baseline can no longer tell you.
#
# ⛔⛔ AND A ROW CANNOT SILENTLY WIDEN ITS OWN SCOPE (`SV-CORPUS-GRAD.13c.2w`). The fourth
# invariant, `contained_in_introduced_subgraph`, is not an identity over three totals — it asks
# whether every rule whose entries ROSE is reachable, in the measured grammar's own reference
# graph, from the rules the change INTRODUCED. That scope is data, so it lives in the row, in the
# `introduced` column, and the check is two-sided: a scoped invariant with no scope REFUSES, and an
# unscoped invariant carrying one REFUSES too (write `-`). A scope in the gate instead of the row
# would let one code change quietly re-scope every past acceptance.
#
# Columns:
#   metric      entries | committed | memo_hits
#   from/to     the exact baseline and measured values this acceptance covers
#   invariant   the coded predicate that explains the rise (see INVARIANTS in the gate script)
#   leaf        the task leaf that owns the measurement
#   why         one line, for a reader
#   introduced  space-separated rule names the change adds a reference to, for a SCOPED invariant;
#               `-` for an invariant that takes no scope
#
metric	from	to	invariant	leaf	why	introduced
entries	416424205	417009457	pure_memo_lookups	SV-CORPUS-GRAD.13c.2j	restoring A.8.4's class_scope branch to split_hierarchical_callable_receiver adds one MEMOIZED class_scope lookup per receiver: entries +585,252, memo_hits +585,252 (identical), committed +0 — zero new parsing work, 585,252 more cached questions	-
memo_hits	186926969	187512221	pure_memo_lookups	SV-CORPUS-GRAD.13c.2j	the other half of the same delta; the counter cannot distinguish a memo HIT from real work, which is what makes this rise invisible to it as anything but a cost	-
entries	417009457	417585361	unmatched_terminal_alternatives	SV-CORPUS-GRAD.13c.2q	restoring the trailing DIGITS that IEEE 1364-2005 A.3.4 gives enable_gatetype and pass_en_switchtype turns 4 unmatchable stem tokens into 8 real ones: 4 NET-NEW terminal alternatives x 71,988 attempted positions x (1 body + 1 memoized trivia) = entries +575,904, memo_hits +287,952 (exactly half), committed +0. Eliminating it means fusing bufif0|bufif1 into one regex, which invents a keyword no LRM has and breaks the bare-kw_* convention all ~750 tokens follow, to save 0.138 %	-
memo_hits	187512221	187800173	unmatched_terminal_alternatives	SV-CORPUS-GRAD.13c.2q	the other half of the same delta: one memoized trivia lookup per added terminal alternative, which is why entries move exactly TWICE this number	-
entries	413108276	413113656	unmatched_lookahead_terminals	SV-CORPUS-GRAD.13c.2s	four `!at_sign`/`!dot` guards stop a greedy star starving an OPTIONAL tail (IEEE 1800-2017 A.8.2 clocking-event argument; A.2.10 let/property/sequence named arguments). Each guard attempt is one terminal body plus one memoized trivia lookup: entries +5,380 == 2 x memo_hits +2,690, committed +0. Removing the guards is measured to reintroduce the defect, and the two cheaper-looking spellings were built and measured IDENTICAL, so no cheaper correct spelling exists	-
memo_hits	183279718	183282408	unmatched_lookahead_terminals	SV-CORPUS-GRAD.13c.2s	the other half of the same delta: one memoized trivia lookup per guard attempt, which is why entries move exactly TWICE this number	-
entries	413113656	415030677	contained_in_introduced_subgraph	SV-CORPUS-GRAD.13c.2v	SV-0065: IEEE 1800 A.8.2 gives `primary` the `[ std :: ] randomize_call` alternative and PGEN's `call_primary` never carried it, so a SCOPE randomize's `with constraint_block` tail was unreachable from EVERY expression. The restored alternative is `primary`'s LAST, so it is attempted only where every other has already failed: entries +1,917,021, memo_hits +1,012,779, committed +0 -- the whole rise is failed speculation and NOT ONE accepted derivation got dearer. Ratio 1.893 fits no arithmetic identity, which is why this is the per-rule invariant's first real customer (.13c.2w). The LRM-faithful spelling (`function_subroutine_call` in `primary`) was built and measured as armA and REFUSED on cost: it wraps every existing call primary in an extra AST level, a schema bump across the whole consumer surface to buy one construct	scope_randomize_sv_only
memo_hits	183282408	184295187	contained_in_introduced_subgraph	SV-CORPUS-GRAD.13c.2v	the other half of the same delta. `randomize_call` and its constraint-block subtree are memoized like any other, so a failed attempt leaves cached answers behind; the counter cannot tell a memo HIT from real work, which is exactly why three totals cannot see that this rise never leaves the introduced sub-graph	scope_randomize_sv_only
entries	415030590	415030726	profile_split_respelling	SV-CORPUS-GRAD.13e.5	SV-0068: IEEE 1364-2005 A.2.7 makes a task/function port DIRECTION mandatory and PGEN carried the IEEE 1800 optional shape on ALL profiles, so `task t(a, b);` parsed as plain Verilog. The fix is a PROFILE SPLIT, i.e. a re-spelling: work MOVES off `tf_port_item` (entries 192 -> 0, committed 132 -> 0) onto `tf_port_item_sv_only` (0 -> 184 / 0 -> 132), and `tf_port_list_sv_only` (0 -> 152 / 0 -> 116) adds ONE dispatcher entry per port-list occurrence. Whole-corpus delta closes EXACTLY on five rules and no others: -192 -8(comma) +184 +152 = +136 entries, -132 +132 +116 = +116 committed, on a 415,030,590-entry corpus (+0.000033 %). ZERO pre-existing rule counters rose. IRREDUCIBLE, and the reason is structural rather than local: `@profiles` gates a RULE, so a profile split needs a named rule per profile plus a dispatcher, and that dispatcher entry is the standing cost of the idiom `data_declaration`, `task_declaration`, `tf_port_direction` and every other split pair in this grammar already pays	tf_port_item_sv_only tf_port_list_sv_only tf_port_item_v2005 tf_port_item_v2005_continuation tf_port_item_v2005_tail tf_port_list_v2005 data_type_implicit_only_v2005
committed	6759473	6759589	profile_split_respelling	SV-CORPUS-GRAD.13e.5	the other half of the same delta, and the sharper half: `committed` rising is exactly why `contained_in_introduced_subgraph` REFUSES this shape (it reads a committed rise as an accepted derivation getting dearer). Here it is not - the committed count MOVED from `tf_port_item` to `tf_port_item_sv_only` and `tf_port_list_sv_only`, which is what a re-spelling looks like on a per-rule counter and what no total-based predicate can distinguish	tf_port_item_sv_only tf_port_list_sv_only tf_port_item_v2005 tf_port_item_v2005_continuation tf_port_item_v2005_tail tf_port_list_v2005 data_type_implicit_only_v2005
